,Results,Probability
SRR5318447_90000_1.fastq.gz,0.0,0.466435058381
SRR5318452_90000_1.fastq.gz,0.0,0.414719933103
SRR5318456_90000_1.fastq.gz,1.0,0.524259830197
SRR5318460_90000_1.fastq.gz,0.0,0.422800504481
SRR5318464_90000_1.fastq.gz,0.0,0.535481368456
SRR5318468_90000_1.fastq.gz,0.0,0.61638293576
SRR5318472_90000_1.fastq.gz,0.0,0.46244928799
SRR5318476_90000_1.fastq.gz,0.0,0.486389478873
SRR5318480_90000_1.fastq.gz,0.0,0.440381292261
SRR5318484_90000_1.fastq.gz,0.0,0.395163912562
SRR5318485_90000_1.fastq.gz,0.0,0.470882258288
SRR5318491_90000_1.fastq.gz,0.0,0.453559644807
SRR5318496_90000_1.fastq.gz,0.0,0.570932356112
SRR5318500_90000_1.fastq.gz,0.0,0.445964059904
SRR5318505_90000_1.fastq.gz,0.0,0.422769447464
SRR5318506_90000_1.fastq.gz,0.0,0.412379941905
SRR5318509_90000_1.fastq.gz,0.0,0.475186857514
SRR5318515_90000_1.fastq.gz,0.0,0.52290656044
SRR5318521_90000_1.fastq.gz,0.0,0.304608261969
SRR5318525_90000_1.fastq.gz,0.0,0.424269467133
SRR5318529_90000_1.fastq.gz,0.0,0.346444135496
SRR5318534_90000_1.fastq.gz,0.0,0.344535294528
SRR5318536_90000_1.fastq.gz,0.0,0.642467494346
SRR5318537_90000_1.fastq.gz,0.0,0.419987426748
SRR5318539_90000_1.fastq.gz,1.0,0.626662729011
SRR5318540_90000_1.fastq.gz,1.0,0.648735519043
SRR5318541_90000_1.fastq.gz,1.0,0.635416391844
SRR5318542_90000_1.fastq.gz,1.0,0.659481100631
SRR5318543_90000_1.fastq.gz,1.0,0.642741936596
SRR5318544_90000_1.fastq.gz,1.0,0.628618705978
SRR5318545_90000_1.fastq.gz,1.0,0.635971176416
SRR5318546_90000_1.fastq.gz,1.0,0.646173345911
SRR5318548_90000_1.fastq.gz,1.0,0.595375846306
SRR5318549_90000_1.fastq.gz,1.0,0.648121314501
SRR5318550_90000_1.fastq.gz,1.0,0.635261660232
SRR5318551_90000_1.fastq.gz,1.0,0.650980227247
SRR5318552_90000_1.fastq.gz,0.0,0.651836607867
SRR5318553_90000_1.fastq.gz,0.0,0.638820854452
SRR5318554_90000_1.fastq.gz,1.0,0.635726659238
SRR5318555_90000_1.fastq.gz,1.0,0.630488208634
SRR5318556_90000_1.fastq.gz,1.0,0.624902920213
SRR5318557_90000_1.fastq.gz,1.0,0.628231369804
SRR5318558_90000_1.fastq.gz,1.0,0.644193542051
SRR5318559_90000_1.fastq.gz,1.0,0.624551195277
SRR5318560_90000_1.fastq.gz,1.0,0.645601991065
SRR5318561_90000_1.fastq.gz,1.0,0.656033403771
SRR5318562_90000_1.fastq.gz,1.0,0.663775196981
SRR5318563_90000_1.fastq.gz,1.0,0.650068297485
SRR5318564_90000_1.fastq.gz,1.0,0.658112593227
SRR5318565_90000_1.fastq.gz,1.0,0.64753950685
SRR5318566_90000_1.fastq.gz,1.0,0.654820290896
SRR5318567_90000_1.fastq.gz,1.0,0.649938036298
SRR5318568_90000_1.fastq.gz,1.0,0.651381935426
SRR5318569_90000_1.fastq.gz,1.0,0.66345842731
SRR5318570_90000_1.fastq.gz,1.0,0.664711169827
SRR5318571_90000_1.fastq.gz,1.0,0.659392604544
