Sample Name,SRR5318447_90000_1.fastq.gz,SRR5318452_90000_1.fastq.gz,SRR5318456_90000_1.fastq.gz,SRR5318460_90000_1.fastq.gz,SRR5318464_90000_1.fastq.gz,SRR5318468_90000_1.fastq.gz,SRR5318472_90000_1.fastq.gz,SRR5318476_90000_1.fastq.gz,SRR5318480_90000_1.fastq.gz,SRR5318484_90000_1.fastq.gz,SRR5318485_90000_1.fastq.gz,SRR5318491_90000_1.fastq.gz,SRR5318496_90000_1.fastq.gz,SRR5318500_90000_1.fastq.gz,SRR5318505_90000_1.fastq.gz,SRR5318506_90000_1.fastq.gz,SRR5318509_90000_1.fastq.gz,SRR5318515_90000_1.fastq.gz,SRR5318521_90000_1.fastq.gz,SRR5318525_90000_1.fastq.gz,SRR5318529_90000_1.fastq.gz,SRR5318534_90000_1.fastq.gz,SRR5318536_90000_1.fastq.gz,SRR5318537_90000_1.fastq.gz,SRR5318539_90000_1.fastq.gz,SRR5318540_90000_1.fastq.gz,SRR5318541_90000_1.fastq.gz,SRR5318542_90000_1.fastq.gz,SRR5318543_90000_1.fastq.gz,SRR5318544_90000_1.fastq.gz,SRR5318545_90000_1.fastq.gz,SRR5318546_90000_1.fastq.gz,SRR5318548_90000_1.fastq.gz,SRR5318549_90000_1.fastq.gz,SRR5318550_90000_1.fastq.gz,SRR5318551_90000_1.fastq.gz,SRR5318552_90000_1.fastq.gz,SRR5318553_90000_1.fastq.gz,SRR5318554_90000_1.fastq.gz,SRR5318555_90000_1.fastq.gz,SRR5318556_90000_1.fastq.gz,SRR5318557_90000_1.fastq.gz,SRR5318558_90000_1.fastq.gz,SRR5318559_90000_1.fastq.gz,SRR5318560_90000_1.fastq.gz,SRR5318561_90000_1.fastq.gz,SRR5318562_90000_1.fastq.gz,SRR5318563_90000_1.fastq.gz,SRR5318564_90000_1.fastq.gz,SRR5318565_90000_1.fastq.gz,SRR5318566_90000_1.fastq.gz,SRR5318567_90000_1.fastq.gz,SRR5318568_90000_1.fastq.gz,SRR5318569_90000_1.fastq.gz,SRR5318570_90000_1.fastq.gz,SRR5318571_90000_1.fastq.gz
Firmicutes,29864,12472,44652,20772,32842,25783,18142,39447,21133,16607,39887,28246,16881,26926,15062,6919,32784,47084,9662,25672,13213,6741,31592,23874,52797,32873,44598,47745,35229,52406,45151,41766,34666,44048,41792,47315,45832,47712,50570,52359,36252,42155,46112,29002,25712,27945,38680,35887,46019,45796,53590,30629,45671,54543,28714,51339
Bacteria unclassified,33395,42665,26231,34088,22755,17882,22290,23048,28288,36020,34984,14775,23348,30570,36584,32905,23266,19121,64441,41160,56025,28949,10041,46918,11930,8862,10692,5607,10839,11591,11105,9025,21324,8476,10378,7754,4991,10868,10503,10913,13070,15203,11163,15031,12648,10111,503,7001,1498,10166,1151,401,6098,3994,5200,2947
Bacteroidetes,1110,616,382,453,197,29796,344,31,302,163,80,218,13271,205,138,279,221,1633,479,1886,1569,1158,37433,3141,19955,39478,26022,22640,23499,17584,12486,31102,26374,25818,29631,26244,32113,23747,21840,18862,31050,21933,20737,34104,32137,27796,43169,37242,38077,20817,30971,49695,33398,16672,46002,28765
Proteobacteria,21250,18872,12781,30889,13008,7120,35267,25690,34151,34111,12912,44076,9804,28659,27547,30867,30258,21168,14964,20504,18402,51950,5761,14387,1912,3531,4903,1880,1538,3903,2413,3582,4736,4481,5292,2778,4350,2618,3038,3528,6696,3289,1747,6206,1626,1627,2453,5521,2287,2838,2226,7113,1674,1482,1341,1451
Verrucomicrobia,171,103,15,57,17699,2591,80,44,136,19,40,28,18288,70,33,34,61,8,7,12,3,18,886,29,98,2511,129,8088,15805,475,13749,310,73,4858,47,3243,109,828,136,49,40,3154,5643,333,10479,9576,3800,2790,1,5486,1,5,780,2656,2178,31
Actinobacteria,540,265,301,280,212,884,267,96,471,253,142,455,370,255,6278,301,336,177,109,234,259,101,382,406,434,527,719,2489,1448,1101,2759,1419,1238,586,1670,1125,1363,2156,910,2565,1213,1895,2554,1381,4151,8803,573,583,365,1071,871,1069,1066,5212,2490,3251
Nonspecific/Host,774,813,1566,554,537,3875,813,586,727,619,536,832,5805,1750,2152,676,885,91,24,70,27,76,3026,120,1517,984,1846,455,490,1384,847,922,512,512,403,469,345,724,1260,617,641,805,545,1096,1815,2460,148,84,333,1085,162,449,170,2596,2604,494
Terrabacteria group unclassified,320,392,1462,794,653,627,362,187,2536,408,281,377,244,363,1147,165,978,107,156,112,148,116,282,353,244,193,218,377,346,491,438,285,249,616,251,408,397,449,777,348,215,471,532,1850,366,664,235,566,618,1512,508,94,154,1860,1180,917
Synergistetes,0,0,2,1,14,3,9607,3,18,9,0,0,16,1,5,14711,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0
Fusobacteria,1517,12338,1237,754,6,0,1035,7,786,735,8,4,145,2,1,1441,4,0,0,18,14,254,3,12,6,4,4,13,2,3,8,75,2,3,2,1,2,3,41,4,5,2,3,5,11,4,0,1,0,26,0,0,0,2,29,0
